t_s,j22,j23,j24,j25,j26,j27,j28,j12
3.380387,0.080150,-0.092542,-0.131563,1.291288,-0.458193,0.000000,0.000000,-0.041515
3.400264,0.080174,-0.092554,-0.131563,1.291288,-0.458181,0.000000,0.000000,-0.041528
3.420063,0.080150,-0.092554,-0.131527,1.291264,-0.458217,0.000000,0.000000,-0.041528
3.440208,0.080150,-0.092530,-0.131539,1.291264,-0.458181,0.000000,0.000000,-0.041528
3.460166,0.080150,-0.092542,-0.131539,1.291276,-0.458181,0.000000,0.000000,-0.041528
3.480127,0.080150,-0.092554,-0.131539,1.291288,-0.458217,0.000000,0.000000,-0.041515
3.500061,0.080150,-0.092530,-0.131551,1.291264,-0.458169,0.000000,0.000000,-0.041528
3.520094,0.080210,-0.092566,-0.131515,1.291276,-0.458193,0.000000,0.000000,-0.041528
3.540068,0.080174,-0.092554,-0.131527,1.291288,-0.458193,0.000000,0.000000,-0.041528
3.560064,0.080150,-0.092554,-0.131539,1.291276,-0.458193,0.000000,0.000000,-0.041515
3.580063,0.080174,-0.092566,-0.131563,1.291288,-0.458181,0.000000,0.000000,-0.041515
3.600063,0.080150,-0.092554,-0.131539,1.291312,-0.458193,0.000000,0.000000,-0.041528
3.620060,0.080174,-0.092542,-0.131539,1.291288,-0.458181,0.000000,0.000000,-0.041542
3.640059,0.080174,-0.092554,-0.131575,1.291276,-0.458181,0.000000,0.000000,-0.041528
3.660065,0.080150,-0.092578,-0.131563,1.291276,-0.458193,0.000000,0.000000,-0.041515
3.680063,0.080150,-0.092566,-0.131575,1.291288,-0.458193,0.000000,0.000000,-0.041528
3.700350,0.080174,-0.092566,-0.131563,1.291264,-0.458193,0.000000,0.000000,-0.041528
3.720266,0.080150,-0.092554,-0.131551,1.291300,-0.458193,0.000000,0.000000,-0.041528
3.740354,0.080174,-0.092578,-0.131575,1.291276,-0.458205,0.000000,0.000000,-0.041528
3.760068,0.080174,-0.092578,-0.131563,1.291288,-0.458193,0.000000,0.000000,-0.041528
3.780421,0.080162,-0.092554,-0.131551,1.291288,-0.458193,0.000000,0.000000,-0.041528
3.800263,0.080174,-0.092590,-0.131515,1.291288,-0.458181,0.000000,0.000000,-0.041528
3.820067,0.080174,-0.092590,-0.131515,1.291288,-0.458181,0.000000,0.000000,-0.041528
3.840194,0.080174,-0.092578,-0.131563,1.291276,-0.458193,0.000000,0.000000,-0.041542
3.860072,0.080174,-0.092578,-0.131515,1.291264,-0.458181,0.000000,0.000000,-0.041555
3.880237,0.080150,-0.092578,-0.131575,1.291276,-0.458193,0.000000,0.000000,-0.041542
3.900069,0.080150,-0.092566,-0.131527,1.291252,-0.458169,0.000000,0.000000,-0.041555
3.920066,0.080186,-0.092590,-0.131551,1.291264,-0.458181,0.000000,0.000000,-0.041542
3.940066,0.080150,-0.092578,-0.131587,1.291288,-0.458181,0.000000,0.000000,-0.041542
3.960072,0.080150,-0.092566,-0.131563,1.291264,-0.458181,0.000000,0.000000,-0.041555
3.980064,0.080150,-0.092578,-0.131515,1.291264,-0.458181,0.000000,0.000000,-0.041568
4.000063,0.080150,-0.092578,-0.131527,1.291276,-0.458205,0.000000,0.000000,-0.041568
4.020059,0.080186,-0.092578,-0.131527,1.291276,-0.458181,0.000000,0.000000,-0.041582
4.040064,0.080150,-0.092578,-0.131527,1.291264,-0.458181,0.000000,0.000000,-0.041555
4.060072,0.080174,-0.092590,-0.131527,1.291276,-0.458193,0.000000,0.000000,-0.041555
4.080067,0.080150,-0.092602,-0.131551,1.291264,-0.458181,0.000000,0.000000,-0.041555
4.100068,0.080150,-0.092602,-0.131563,1.291264,-0.458193,0.000000,0.000000,-0.041555
4.120065,0.080150,-0.092590,-0.131575,1.291276,-0.458193,0.000000,0.000000,-0.041582
4.140182,0.080174,-0.092554,-0.131575,1.291276,-0.458181,0.000000,0.000000,-0.041555
4.160353,0.080174,-0.092590,-0.131563,1.291288,-0.458205,0.000000,0.000000,-0.041555
4.180312,0.080150,-0.092578,-0.131575,1.291276,-0.458217,0.000000,0.000000,-0.041568
4.200160,0.080174,-0.092578,-0.131551,1.291276,-0.458193,0.000000,0.000000,-0.041568
4.220067,0.080186,-0.092554,-0.131527,1.291264,-0.458193,0.000000,0.000000,-0.041555
4.240067,0.080150,-0.092578,-0.131527,1.291288,-0.458181,0.000000,0.000000,-0.041568
4.260254,0.080174,-0.092578,-0.131575,1.291240,-0.458181,0.000000,0.000000,-0.041555
4.280121,0.080174,-0.092578,-0.131539,1.291264,-0.458193,0.000000,0.000000,-0.041555
4.300066,0.080174,-0.092578,-0.131527,1.291276,-0.458205,0.000000,0.000000,-0.041568
4.320065,0.080174,-0.092578,-0.131551,1.291276,-0.458181,0.000000,0.000000,-0.041555
4.340068,0.080150,-0.092590,-0.131527,1.291288,-0.458205,0.000000,0.000000,-0.041555
4.360073,0.080186,-0.092614,-0.131527,1.291288,-0.458181,0.000000,0.000000,-0.041568
4.380071,0.080150,-0.092590,-0.131527,1.291276,-0.458193,0.000000,0.000000,-0.041568
4.400066,0.080150,-0.092602,-0.131551,1.291276,-0.458193,0.000000,0.000000,-0.041555
4.420065,0.080139,-0.092566,-0.131539,1.291288,-0.458193,0.000000,0.000000,-0.041542
4.440063,0.080150,-0.092590,-0.131515,1.291276,-0.458181,0.000000,0.000000,-0.041542
4.460066,0.080150,-0.092590,-0.131563,1.291264,-0.458181,0.000000,0.000000,-0.041555
4.480067,0.080174,-0.092590,-0.131575,1.291264,-0.458205,0.000000,0.000000,-0.041555
